Q,C,Alter1,Alter2 ,Alter3,Alter4
Makanan empek-empek merupakan makanan khas dari daerah...,Palembang,Palembang,Pekanbaru,Cirebon,Madura
Kain Lurik merupakan kain khas tradisional dari daerah...,Yogyakarta,Yogyakarta,Sumatera Barat,Bengkulu,Maluku
"A rabbit has two long ears, a small tail and ….",Fur,Fur,Shell,Claws,Horns
My father is a doctor. He examines … carefully.,Patients,Patients,Students,Passengers,Authors
"Berikut merupakan satuan besaran volume, yaitu …",m3,m3,m2,ms-1,hektar
"Hormon untuk menurunkan gula darah, yaitu...",Insulin,Insulin,Adrenalin,Tiroksin,Testosteron
Binatang yang bisa hidup di air dan di darat disebut,Amfibi,Amfibi,Mamalia,Nokturnal,Omnivora
"Gambar ikon untuk menyimpan data pada Microsoft Word, adalah",Disket,Disket,Pensil,Keranjang,Kamera
Apa nama gunung tertinggi di dunia?,Everest,Everest,Fuji,Jaya Wijaya,Bromo
Sebuah papan catur memiliki kotak-kotak tempat bidak sebanyak...,64,64,50,100,52
Nama obat untuk membunuh jentik-jentik nyamuk di air adalah,Abate,Abate,Parasetamol,Aspirin,Menthol
Apa nama mata uang negara Jepang?,Yen,Yen,Ringgit,Poundsterling,Baht
Orang yang suka mengoleksi prangko disebut,Filatelli,Filatelli,Poster,Sender,Percussionist
Flute adalah alat musik yang dimainkan dengan cara,Ditiup,Ditiup,Digesek,Dipukul,Dipetik
Jenis batuan terkeras adalah...,Berlian,Berlian,Akik,Magma,Apung
Alat pernafasan belalang adalah...,Trakea,Trakea,Paru-paru,Kulit,Insang
Ledakan bintang di galaksi disebut...,Supernova,Supernova,Bima Sakti,Andromeda,Rasi Bintang
Burung tercepat di dunia adalah...,Falcon,Falcon,Kasuari,Bangau,Merak
Pusat peredaran tata surya adalah...,Matahari,Matahari,Bulan,Bintang,Planet
Nama resmi negara Belanda adalah...,Netherlands,Netherlands,Holland,Amsterdam,Groningen
Pencipta karakter Naruto adalah...,Masashi Kishimoto,Masashi Kishimoto,Akira Toriyama,Eiichiro Oda,Fujiko F Fujio
Siapakah nama Presiden ke-3 Indonesia?,B.J Habibie,B.J Habibie,Megawati,Soekarno,Gus Dur
Sebutan untuk kota Yogyakarta yaitu...,Kota Pelajar,Kota Pelajar,Kota Pahlawan,Kota Wali,Kota Batik
Sawahluto adalah kota pertambangan batubara di provinsi...,Sumatera Barat,Sumatera Barat,Kalimantan,Papua,Jambi
Gudeg adalah makanan khas dari daerah?,Yogyakarta,Yogyakarta,Solo,Surabaya,Mojokerto
Kota di Indonesia yang disebut sebagai Kota Batik adalah,Pekalongan,Pekalongan,Rembang,Pemalang,Tegal
Bandara Husein Sastranegara berada di kota?,Bandung,Bandung,Surabaya,Makassar,Medan
Gambar yang menjadi lambang Pramuka adalah...,Tunas Kelapa,Tunas Kelapa,Pohon beringin,Burung Garuda,Padi Kapas
Gracia Polii adalah seorang atlet dari cabang olahraga...,Bulutangkis,Bulutangkis,Basket,Renang,Angkat Besi
Suku Aborigin berasal dari negara...,Australia,Australia,Selandia Baru,Vietnam,Filipina
Hasil perhitungan dari -3 + 10 - 2 adalah...,5,5,-3,-5,11
"Bilangan yang berada di antara 0,05 dan 0,07 adalah....","0,055","0,055","0,65","0,00055","0,006"
"Antonim dari kata ""Banyak"" adalah...",Sedikit,Sedikit,Kecil,Mini,Kurang
"Yang bukan merupakan sinonim dari kata ""Abadi"" adalah...",Sementara,Sementara,Kekal,Baka,Infinit
Pada tahun berapa Sumpah Pemuda pertama kali dibacakan?,1928,1928,1988,1945,1950
Apa nama jembatan yang menghubungkan Surabaya dan Madura?,Suramadu,Suramadu,Ampera,Pasupati,Barito
Joglo adalah rumah adat dari provinsi...,Jawa Tengah,Jawa Tengah,Madura,Jambi,Sumatera Utara
Undang-undang yang tidak tertulis disebut?,Konvensi,Konvensi,Korespondensi,Yurisdiksi,Perda
Selat yang berada di antara Pulau Sumatera dan Kalimantan adalah...,Selat Karimata,Selat Karimata,Selat Sunda,Selat Makasar,Selat Bangka
Kota di Indonesia yang dilalui garis lintang nol derajat bumi adalah...,Pontianak,Pontianak,Tuban,Pekanbaru,Mentawai
Kota yang dikenal sebagai Kota Katulistiwa adalah...,Pontianak,Pontianak,Makassar,Ambon,Jakarta
"Melakukan perintah ""find"" pada komputer bisa dengan menekan tombol...",Ctrl + F,Ctrl + F,Alt + F,F5,Ctrl + V
Yang merupakan film animasi dari perusahaan DreamWorks adalah...,Megamind,Megamind,"Monsters, Inc.",Ratatouille,Aladdin
Yang bukan merupakan superhero pada Marvel universe adalah...,Wonder Woman,Wonder Woman,X-Men,Green Goblin,Hulk
Perubahan benda padat menjadi gas disebut...,Menyublim,Menyublim,Menguap,Mengkristal,Mengembun
Yoghurt adalah hasil fermentasi dari...,Keju,Keju,Susu,Jus,Wine
"Plat nomor kendaraan ""BG"" adalah kendaraan asal daerah...",Sumatera Selatan,Sumatera Selatan,Bali,Jawa Barat,Lampung
Zodiak seseorang yang lahir pada tanggal 25 November adalah...,Sagitarius,Sagitarius,Virgo,Scorpio,Taurus
Software yang fungsi utamanya seperti Windows Media Player adalah...,VLC,VLC,Canva,Picasa,SHAREit
Simbol garis-garis yang selalu ditemukan pada produk disebut...,Barcode,Barcode,Fingerprint,Codec,Captcha
Setiap berapa tahun sekali SEA Games diadakan?,2 tahun,2 tahun,5 tahun,1 tahun,4 tahun
Negara manakah yang memiliki luas wilayah terkecil di dunia?,Vatikan,Vatikan,Singapura,San Marino,Monako
Bunga Tulip berasal dari negara?,Turki,Turki,Belanda,German,Hongaria
Hewan yang beraktiftas dimalam hari disebut hewan...,Nokturnal,Nokturnal,Mamalia,Primata,Ovovivipar
Yang bukan merupakan contoh hewan Ovovivipar adalah...,Laba-laba,Laba-laba,Ikan pari,Bunglon,Platypus
Yodium (I) merupakan unsur ...,non-logam,non-logam,logam,logam murni,semi-logam
Berikut ini yang termasuk contoh senyawa yaitu ...,HCl,HCl,O2,Na,H2
"Sesuai dengan UUDS 1950, sistem pemerintahan RI bersifat ...",presidensiil,presidensiil,monarki,republik,parlementer
"Antonim dari kata ""Kesetiaan"" adalah ...",Pengkhianatan,Pengkhianatan,Persahabatan,Kecintaan,Kebencian
Binatang yang bisa hidup di air dan di darat disebut...,amfibi,amfibi,mamalia,nokturnal,omnivora
Tumbuhan berduri yang tumbuh di daerah gersang adalah ...,Kaktus,Kaktus,Mawar,Anggrek,Tulip
335 ... 313,>,>,<, =,
Julukan Negara Kincir Angin merupakan julukan negara ...,Belanda,Belanda,Jepang,Indonesia,Jerman
Negara yang memiliki julukan Negeri Jiran adalah ...,Malaysia,Malaysia,Indonesia,Brunei,Thailand
Benua Kuning adalah sebutan bagi benua ...,Asia,Asia,Eropa,Afrika,Amerika
Indonesia merdeka pada tahun ...,1945,1945,1949,1950,1954
Benua dengan sebutan Benua Biru adalah...,Eropa,Eropa,Asia,Afrika,Amerika
Berikut yang bukan merupakan sikap terpuji adalah...,rendah diri,rendah diri,rendah hati,tekun,ulet
Lagu Tanah Airku adalah lagu ciptaan...,Ibu Sud,Ibu Sud,Ismail Marzuki,H Mutahar,WR Suprtaman
